@sprites

texture bullet/bullet.png

# name	x	y	w	h	ax	ay
tailsman_darkgreen	912	16	16	16	8	8
tailsman_lightgreen	928	16	16	16	8	8
tailsman_lime	944	16	16	16	8	8
tailsman_darkyellow	960	16	16	16	8	8
tailsman_lightyellow	976	16	16	16	8	8
tailsman_orange	992	16	16	16	8	8
tailsman_white	1008	16	16	16	8	8
bullet_gray	0	32	16	16	8	8
bullet_darkred	16	32	16	16	8	8
bullet_lightred	32	32	16	16	8	8
bullet_darkpink	48	32	16	16	8	8
bullet_lightpink	64	32	16	16	8	8
bullet_darkblue	80	32	16	16	8	8
bullet_lightblue	96	32	16	16	8	8
bullet_darkcyan	112	32	16	16	8	8
bullet_lightcyan	128	32	16	16	8	8
bullet_darkgreen	144	32	16	16	8	8
bullet_lightgreen	160	32	16	16	8	8
bullet_lime	176	32	16	16	8	8
bullet_darkyellow	192	32	16	16	8	8
bullet_lightyellow	208	32	16	16	8	8
bullet_orange	224	32	16	16	8	8
bullet_white	240	32	16	16	8	8
germ_gray	256	32	16	16	8	8
germ_darkred	272	32	16	16	8	8
germ_lightred	288	32	16	16	8	8
germ_darkpink	304	32	16	16	8	8
germ_lightpink	320	32	16	16	8	8
germ_darkblue	336	32	16	16	8	8
germ_lightblue	352	32	16	16	8	8
germ_darkcyan	368	32	16	16	8	8
germ_lightcyan	384	32	16	16	8	8
germ_darkgreen	400	32	16	16	8	8
germ_lightgreen	416	32	16	16	8	8
germ_lime	432	32	16	16	8	8
germ_darkyellow	448	32	16	16	8	8
germ_lightyellow	464	32	16	16	8	8
germ_orange	480	32	16	16	8	8
germ_white	496	32	16	16	8	8
smallstar_gray	512	32	16	16	8	8
smallstar_darkred	528	32	16	16	8	8
smallstar_lightred	544	32	16	16	8	8
smallstar_darkpink	560	32	16	16	8	8
smallstar_lightpink	576	32	16	16	8	8
smallstar_darkblue	592	32	16	16	8	8
smallstar_lightblue	608	32	16	16	8	8
smallstar_darkcyan	624	32	16	16	8	8
smallstar_lightcyan	640	32	16	16	8	8
smallstar_darkgreen	656	32	16	16	8	8
smallstar_lightgreen	672	32	16	16	8	8
smallstar_lime	688	32	16	16	8	8
smallstar_darkyellow	704	32	16	16	8	8
smallstar_lightyellow	720	32	16	16	8	8
smallstar_orange	736	32	16	16	8	8
smallstar_white	752	32	16	16	8	8
shinyball_gray	768	32	16	16	8	8
shinyball_darkred	784	32	16	16	8	8
shinyball_lightred	800	32	16	16	8	8
shinyball_darkpink	816	32	16	16	8	8
shinyball_lightpink	832	32	16	16	8	8
shinyball_darkblue	848	32	16	16	8	8
shinyball_lightblue	864	32	16	16	8	8
shinyball_darkcyan	880	32	16	16	8	8
shinyball_lightcyan	896	32	16	16	8	8
shinyball_darkgreen	912	32	16	16	8	8
shinyball_lightgreen	928	32	16	16	8	8
shinyball_lime	944	32	16	16	8	8
shinyball_darkyellow	960	32	16	16	8	8
shinyball_lightyellow	976	32	16	16	8	8
shinyball_orange	992	32	16	16	8	8
shinyball_white	1008	32	16	16	8	8
fungi_gray	0	48	8	8	4	4
fungi_darkred	8	48	8	8	4	4
fungi_lightred	16	48	8	8	4	4
fungi_darkpink	24	48	8	8	4	4
fungi_lightpink	32	48	8	8	4	4
fungi_darkblue	40	48	8	8	4	4
fungi_lightblue	48	48	8	8	4	4
fungi_darkcyan	56	48	8	8	4	4
fungi_lightcyan	64	48	8	8	4	4
fungi_darkgreen	72	48	8	8	4	4
fungi_lightgreen	80	48	8	8	4	4
fungi_lime	88	48	8	8	4	4
fungi_darkyellow	96	48	8	8	4	4
fungi_lightyellow	104	48	8	8	4	4
fungi_orange	112	48	8	8	4	4
fungi_white	120	48	8	8	4	4
grain_gray	128	48	8	8	4	4
grain_darkred	136	48	8	8	4	4
grain_lightred	144	48	8	8	4	4
grain_darkpink	152	48	8	8	4	4
grain_lightpink	160	48	8	8	4	4
grain_darkblue	168	48	8	8	4	4
grain_lightblue	176	48	8	8	4	4
grain_darkcyan	184	48	8	8	4	4
grain_lightcyan	192	48	8	8	4	4
grain_darkgreen	200	48	8	8	4	4
grain_lightgreen	208	48	8	8	4	4
grain_lime	216	48	8	8	4	4
grain_darkyellow	224	48	8	8	4	4
grain_lightyellow	232	48	8	8	4	4
grain_orange	240	48	8	8	4	4
grain_white	248	48	8	8	4	4
dot_gray	256	48	8	8	4	4
dot_darkred	264	48	8	8	4	4
dot_lightred	272	48	8	8	4	4
dot_darkpink	280	48	8	8	4	4
dot_lightpink	288	48	8	8	4	4
dot_darkblue	296	48	8	8	4	4
dot_lightblue	304	48	8	8	4	4
dot_darkcyan	312	48	8	8	4	4
dot_lightcyan	320	48	8	8	4	4
dot_darkgreen	328	48	8	8	4	4
dot_lightgreen	336	48	8	8	4	4
dot_lime	344	48	8	8	4	4
dot_darkyellow	352	48	8	8	4	4
dot_lightyellow	360	48	8	8	4	4
dot_orange	368	48	8	8	4	4
dot_white	376	48	8	8	4	4
mist_black	384	48	32	32	16	16
mist_red	416	48	32	32	16	16
mist_pink	448	48	32	32	16	16
mist_blue	480	48	32	32	16	16
mist_cyan	512	48	32	32	16	16
mist_green	544	48	32	32	16	16
mist_yellow	576	48	32	32	16	16
mist_gray	608	48	32	32	16	16
explosion_black	640	48	16	16	8	8
explosion_red	656	48	16	16	8	8
explosion_blue	672	48	16	16	8	8
explosion_green	688	48	16	16	8	8
explosion_yellow	704	48	16	16	8	8
star_black	720	48	32	32	16	16
star_red	752	48	32	32	16	16
star_pink	784	48	32	32	16	16
star_blue	816	48	32	32	16	16
star_cyan	848	48	32	32	16	16
star_green	880	48	32	32	16	16
star_yellow	912	48	32	32	16	16
star_gray	944	48	32	32	16	16
mediumball_black	976	48	32	32	16	16
mediumball_red	0	80	32	32	16	16
mediumball_pink	32	80	32	32	16	16
mediumball_blue	64	80	32	32	16	16
mediumball_cyan	96	80	32	32	16	16
mediumball_green	128	80	32	32	16	16
mediumball_yellow	160	80	32	32	16	16
mediumball_gray	192	80	32	32	16	16
butterfly_black	224	80	32	32	16	16
butterfly_red	256	80	32	32	16	16
butterfly_pink	288	80	32	32	16	16
butterfly_blue	320	80	32	32	16	16
butterfly_cyan	352	80	32	32	16	16
butterfly_green	384	80	32	32	16	16
butterfly_yellow	416	80	32	32	16	16
butterfly_gray	448	80	32	32	16	16
knife_black	480	80	32	32	16	16
knife_red	512	80	32	32	16	16
knife_pink	544	80	32	32	16	16
knife_blue	576	80	32	32	16	16
knife_cyan	608	80	32	32	16	16
knife_green	640	80	32	32	16	16
knife_yellow	672	80	32	32	16	16
knife_gray	704	80	32	32	16	16
oval_black	736	80	32	32	16	16
oval_red	768	80	32	32	16	16
oval_pink	800	80	32	32	16	16
oval_blue	832	80	32	32	16	16
oval_cyan	864	80	32	32	16	16
oval_green	896	80	32	32	16	16
oval_yellow	928	80	32	32	16	16
oval_gray	960	80	32	32	16	16
lasersource_black	992	80	32	32	16	16
lasersource_red	0	112	32	32	16	16
lasersource_pink	32	112	32	32	16	16
lasersource_blue	64	112	32	32	16	16
lasersource_cyan	96	112	32	32	16	16
lasersource_green	128	112	32	32	16	16
lasersource_yellow	160	112	32	32	16	16
lasersource_gray	192	112	32	32	16	16
bigball_red	224	112	64	64	32	32
bigball_blue	288	112	64	64	32	32
bigball_green	352	112	64	64	32	32
bigball_yellow	416	112	64	64	32	32
heart_black	480	112	32	32	16	16
heart_red	512	112	32	32	16	16
heart_pink	544	112	32	32	16	16
heart_blue	576	112	32	32	16	16
heart_cyan	608	112	32	32	16	16
heart_green	640	112	32	32	16	16
heart_yellow	672	112	32	32	16	16
heart_gray	704	112	32	32	16	16
arrow_black	736	112	32	32	16	16
arrow_red	768	112	32	32	16	16
arrow_pink	800	112	32	32	16	16
arrow_blue	832	112	32	32	16	16
arrow_cyan	864	112	32	32	16	16
arrow_green	896	112	32	32	16	16
arrow_yellow	928	112	32	32	16	16
arrow_gray	960	112	32	32	16	16
orb_black	992	112	32	32	16	16
orb_red	0	176	32	32	16	16
orb_pink	32	176	32	32	16	16
orb_blue	64	176	32	32	16	16
orb_cyan	96	176	32	32	16	16
orb_green	128	176	32	32	16	16
orb_yellow	160	176	32	32	16	16
orb_gray	192	176	32	32	16	16
droplet_gray	736	176	16	16	8	8
droplet_darkred	752	176	16	16	8	8
droplet_lightred	768	176	16	16	8	8
droplet_darkpink	784	176	16	16	8	8
droplet_lightpink	800	176	16	16	8	8
droplet_darkblue	816	176	16	16	8	8
droplet_lightblue	832	176	16	16	8	8
droplet_darkcyan	848	176	16	16	8	8
droplet_lightcyan	864	176	16	16	8	8
droplet_darkgreen	880	176	16	16	8	8
droplet_lightgreen	896	176	16	16	8	8
droplet_lime	912	176	16	16	8	8
droplet_darkyellow	928	176	16	16	8	8
droplet_lightyellow	944	176	16	16	8	8
droplet_orange	960	176	16	16	8	8
droplet_white	976	176	16	16	8	8
spike_black	992	176	32	32	16	16
spike_red	0	208	32	32	16	16
spike_pink	32	208	32	32	16	16
spike_blue	64	208	32	32	16	16
spike_cyan	96	208	32	32	16	16
spike_green	128	208	32	32	16	16
spike_yellow	160	208	32	32	16	16
spike_gray	192	208	32	32	16	16
glowball_black	224	208	64	64	32	32
glowball_red	288	208	64	64	32	32
glowball_pink	352	208	64	64	32	32
glowball_blue	416	208	64	64	32	32
glowball_cyan	480	208	64	64	32	32
glowball_green	544	208	64	64	32	32
glowball_yellow	608	208	64	64	32	32
glowball_gray	672	208	64	64	32	32
stop_black	96	272	32	32	16	16
stop_red	128	272	32	32	16	16
stop_pink	160	272	32	32	16	16
stop_blue	192	272	32	32	16	16
stop_cyan	224	272	32	32	16	16
stop_green	256	272	32	32	16	16
stop_yellow	288	272	32	32	16	16
stop_gray	320	272	32	32	16	16
diamond_black	352	272	32	32	16	16
diamond_red	384	272	32	32	16	16
diamond_pink	416	272	32	32	16	16
diamond_blue	448	272	32	32	16	16
diamond_cyan	480	272	32	32	16	16
diamond_green	512	272	32	32	16	16
diamond_yellow	544	272	32	32	16	16
diamond_gray	576	272	32	32	16	16
bigdroplet_black	608	272	32	32	16	16
bigdroplet_red	640	272	32	32	16	16
bigdroplet_pink	672	272	32	32	16	16
bigdroplet_blue	704	272	32	32	16	16
bigdroplet_cyan	736	272	32	32	16	16
bigdroplet_green	768	272	32	32	16	16
bigdroplet_yellow	800	272	32	32	16	16
bigdroplet_gray	832	272	32	32	16	16
yinyang_black	864	272	32	32	16	16
yinyang_red	896	272	32	32	16	16
yinyang_pink	928	272	32	32	16	16
yinyang_blue	960	272	32	32	16	16
yinyang_cyan	992	272	32	32	16	16
yinyang_green	0	304	32	32	16	16
yinyang_yellow	32	304	32	32	16	16
yinyang_gray	64	304	32	32	16	16
bigyinyang_red	96	304	64	64	32	32
bigyinyang_blue	160	304	64	64	32	32
bigyinyang_green	224	304	64	64	32	32
bigyinyang_yellow	288	304	64	64	32	32
nuke	352	304	256	256	128	128
nukemist	608	304	256	256	128	128
